Benchmark,Model,Task_Name,Task_Version,Evaluation_Date,Numerical_Result,Upper_Confidence_Limit,Lower_Confidence_Limit,Boolean_Result
murugesann/wordle-benchmark,claude-opus-4-8-default,,1,07-08-2026 07:59,77.92981008,,,
murugesann/wordle-benchmark,claude-opus-4-8-default,evaluate_wordle_6L_single_turn,1,07-08-2026 07:59,0.779298101,,,
murugesann/wordle-benchmark,claude-opus-4-8-default,evaluate_6Lwordle_multi_turn,1,,,,,
murugesann/wordle-benchmark,claude-opus-4-8-default,evaluate_6Lwordle_cognitive_flexibility,1,,,,,
murugesann/wordle-benchmark,gemini-3.1-pro-preview,,1,12-08-2026 08:21,66.00520376,,,
murugesann/wordle-benchmark,gemini-3.1-pro-preview,evaluate_wordle_6L_single_turn,1,07-08-2026 08:36,0.845929803,,,
murugesann/wordle-benchmark,gemini-3.1-pro-preview,evaluate_6Lwordle_multi_turn,1,11-08-2026 04:03,0.724,,,
murugesann/wordle-benchmark,gemini-3.1-pro-preview,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 08:21,0.365045094,,,
murugesann/wordle-benchmark,claude-opus-5-default,,1,12-08-2026 07:16,63.90662448,,,
murugesann/wordle-benchmark,claude-opus-5-default,evaluate_wordle_6L_single_turn,1,07-08-2026 08:54,0.850924399,,,
murugesann/wordle-benchmark,claude-opus-5-default,evaluate_6Lwordle_multi_turn,1,11-08-2026 03:36,0.653,,,
murugesann/wordle-benchmark,claude-opus-5-default,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 07:16,0.345693595,,,
murugesann/wordle-benchmark,gemini-3.6-flash,,1,12-08-2026 07:02,62.20657448,,,
murugesann/wordle-benchmark,gemini-3.6-flash,evaluate_wordle_6L_single_turn,1,07-08-2026 08:02,0.837571467,,,
murugesann/wordle-benchmark,gemini-3.6-flash,evaluate_6Lwordle_multi_turn,1,11-08-2026 02:40,0.647,,,
murugesann/wordle-benchmark,gemini-3.6-flash,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 07:02,0.349174602,,,
murugesann/wordle-benchmark,gpt-5.6-sol,,1,12-08-2026 07:09,60.49222838,,,
murugesann/wordle-benchmark,gpt-5.6-sol,evaluate_wordle_6L_single_turn,1,07-08-2026 08:04,0.782031236,,,
murugesann/wordle-benchmark,gpt-5.6-sol,evaluate_6Lwordle_multi_turn,1,11-08-2026 02:37,0.673,,,
murugesann/wordle-benchmark,gpt-5.6-sol,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 07:09,0.363804984,,,
murugesann/wordle-benchmark,gemma-4-31b-it,,1,12-08-2026 09:58,60.1399577,,,
murugesann/wordle-benchmark,gemma-4-31b-it,evaluate_wordle_6L_single_turn,1,07-08-2026 09:31,0.845943133,,,
murugesann/wordle-benchmark,gemma-4-31b-it,evaluate_6Lwordle_multi_turn,1,11-08-2026 08:29,0.589,,,
murugesann/wordle-benchmark,gemma-4-31b-it,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 09:58,0.338257386,,,
murugesann/wordle-benchmark,grok-4.20-0309-reasoning,,1,12-08-2026 07:43,58.81134094,,,
murugesann/wordle-benchmark,grok-4.20-0309-reasoning,evaluate_wordle_6L_single_turn,1,07-08-2026 08:28,0.774047094,,,
murugesann/wordle-benchmark,grok-4.20-0309-reasoning,evaluate_6Lwordle_multi_turn,1,11-08-2026 04:58,0.584,,,
murugesann/wordle-benchmark,grok-4.20-0309-reasoning,evaluate_6Lwordle_cognitive_flexibility,1,12-08-2026 07:43,0.336325827,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
,,,,,,,,
