task,model,score,input_tokens,output_tokens,cost,time_seconds
cognitive-flexibility,grok-4.20-0309-reasoning,0.34,815127,434790,1.5993,1826.28
cognitive-flexibility,gpt-5.6-sol,0.36,418366,52662,2.7119,1603.45
cognitive-flexibility,gemini-3.1-pro-preview,0.37,416464,837846,10.8433,5888.23
cognitive-flexibility,gemini-3.6-flash,0.35,423167,237362,2.3546,1136.52
cognitive-flexibility,gemma-4-31b-it,0.34,488181,376118,0.2942,10542.71
cognitive-flexibility,claude-opus-5-default,0.35,838048,140690,7.7075,2023.31
multi-turn,claude-opus-5-default,0.72,845134,355833,13.1215,4960.47
multi-turn,gemma-4-31b-it,0.62,580398,696730,0.4985,19528.69
multi-turn,gemini-3.1-pro-preview,0.77,468880,924052,12.0117,6529.08
multi-turn,grok-4.20-0309-reasoning,0.65,1131299,934693,3.0978,7106.72
multi-turn,gpt-5.6-sol,0.67,540648,65063,3.3285,1396.38
multi-turn,gemini-3.6-flash,0.68,538851,306124,3.0603,1570.56
single-turn,claude-opus-5-default,0.85,86896,88626,2.6501,1268.98
single-turn,grok-4.20-0309-reasoning,0.77,68204,236303,0.6142,895.28
single-turn,claude-sonnet-4-6-default,0.75,60826,74848,1.3052,1009.88
single-turn,gpt-5.6-sol,0.78,69448,22800,1.0312,621.01
single-turn,gemma-4-31b-it,0.85,57769,210182,0.1348,5863.54
single-turn,gemini-3.1-pro-preview,0.85,57689,365956,4.5069,2551.09
single-turn,gemini-3.6-flash,0.84,57689,104581,0.8709,576.9
single-turn,claude-opus-4-8-default,0.78,86896,25653,1.0758,380.06
