model_name,task_id,score,input_tokens,output_tokens,cost_usd,time_seconds
grok-4.20-0309-reasoning,cognitive-flexibility,0.34,815127,434790,1.5993,1826.28
gpt-5.6-sol,cognitive-flexibility,0.36,418366,52662,2.7119,1603.45
gemini-3.1-pro-preview,cognitive-flexibility,0.37,416464,837846,10.8433,5888.23
gemini-3.6-flash,cognitive-flexibility,0.35,423167,237362,2.3546,1136.52
gemma-4-31b-it,cognitive-flexibility,0.34,488181,376118,0.2942,10542.71
claude-opus-5-default,cognitive-flexibility,0.35,838048,140690,7.7075,2023.31
claude-opus-5-default,multi-turn,0.72,845134,355833,13.1215,4960.47
gemma-4-31b-it,multi-turn,0.62,580398,696730,0.4985,19528.69
gemini-3.1-pro-preview,multi-turn,0.77,468880,924052,12.0117,6529.08
grok-4.20-0309-reasoning,multi-turn,0.65,1131299,934693,3.0978,7106.72
gpt-5.6-sol,multi-turn,0.67,540648,65063,3.3285,1396.38
gemini-3.6-flash,multi-turn,0.68,538851,306124,3.0603,1570.56
claude-opus-5-default,single-turn-larger,0.85,86896,88626,2.6501,1268.98
grok-4.20-0309-reasoning,single-turn-larger,0.77,68204,236303,0.6142,895.28
claude-sonnet-4-6-default,single-turn-larger,0.75,60826,74848,1.3052,1009.88
gpt-5.6-sol,single-turn-larger,0.78,69448,22800,1.0312,621.01
gemma-4-31b-it,single-turn-larger,0.85,57769,210182,0.1348,5863.54
gemini-3.1-pro-preview,single-turn-larger,0.85,57689,365956,4.5069,2551.09
gemini-3.6-flash,single-turn-larger,0.84,57689,104581,0.8709,576.9
claude-opus-4-8-default,single-turn-larger,0.78,86896,25653,1.0758,380.06
gemini-3.8-flash,single-turn-larger,0.87,288641,729575,2.9524,2627.5
glm-5,single-turn-larger,0.79,275316,1079912,3.656,16287.75
gpt-5.6-terra,single-turn-larger,0.78,347113,78002,2.0378,1243.78
gemini-3-flash-preview,single-turn-larger,0.85,288641,2311674,7.0793,9085.58
gpt-5.6-terra,cognitive-flexibility,0.32,505604,43616,1.2958,628.73
gemini-3.8-flash,cognitive-flexibility,0.35,517580,291319,1.4806,1249.29
gpt-5.6-terra,multi-turn,0.52,474045,44904,1.3034,680.9
gemini-3.8-flash,multi-turn,0.73,691654,600952,2.7723,2332.2
