model_name,task_id,score,input_tokens,output_tokens,cost_usd,time_seconds
claude-opus-5,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
grok-4.20-0309-reasoning,cognitive-flexibility,0.97,1211019,25176,3.4159,3183.32
grok-4.20-0309-reasoning,multi-turn,1.03,1237074,718724,2.5295,2885.81
grok-4.20-0309-reasoning,single-turn,0.66,334243,811999,2.1145,3089.95
