model_name,task_id,score,input_tokens,output_tokens,cost_usd,time_seconds
claude-opus-5-default,single-turn,0.65,423434,124929,5.2404,1962.67
claude-opus-5-default,multi-turn,0.95,1011575,246827,10.2648,3604.13
claude-opus-5-default,cognitive-flexibility,0.87,886865,122558,6.2305,1839.91
claude-opus-5-default,cognitive-flexibility,0.35,838048,140690,7.7075,2023.31
claude-opus-5-default,multi-turn,0.72,845134,355833,13.1215,4960.47
claude-opus-5-default,single-turn,0.85,86896,88626,2.6501,1268.98
gemini-3.1-pro-preview,single-turn,0.92,522734,57146,11.3193,8172.49
gemini-3.1-pro-preview,multi-turn,1.13,647123,81273,8.8613,6536.32
gemini-3.1-pro-preview,cognitive-flexibility,0.67,279608,114519,10.6459,11469.54
gemini-3.1-pro-preview,cognitive-flexibility,0.37,416464,837846,10.8433,5888.23
gemini-3.1-pro-preview,multi-turn,0.77,468880,924052,12.0117,6529.08
gemini-3.1-pro-preview,single-turn,0.85,57689,365956,4.5069,2551.09
gemini-3.8-flash,single-turn,0.66,281217,457210,1.9255,1715.43
gemini-3.8-flash,multi-turn,1.12,817564,316060,1.7984,1191.07
gemini-3.8-flash,cognitive-flexibility,0.86,599673,257069,1.4138,954.86
gemini-3.8-flash,single-turn,0.87,288641,729575,2.9524,2627.5
gemini-3.8-flash,cognitive-flexibility,0.35,517580,291319,1.4806,1249.29
gemini-3.8-flash,multi-turn,0.73,691654,600952,2.7723,2332.2
gemma-4-31b-it,single-turn,0.94,547439,66815,0.161,11084.19
gemma-4-31b-it,multi-turn,1.01,690038,107374,0.2276,16687.52
gemma-4-31b-it,cognitive-flexibility,0.64,281217,132651,0.2206,18544.97
gemma-4-31b-it,cognitive-flexibility,0.34,488181,376118,0.2942,10542.71
gemma-4-31b-it,multi-turn,0.62,580398,696730,0.4985,19528.69
gemma-4-31b-it,single-turn,0.85,57769,210182,0.1348,5863.54
gpt-5.6-terra,single-turn,0.61,340275,48120,1.5725,831.94
gpt-5.6-terra,multi-turn,0.97,604351,46586,1.4675,704.57
gpt-5.6-terra,cognitive-flexibility,0.72,636379,34055,1.2692,554.94
gpt-5.6-terra,single-turn,0.78,347113,78002,2.0378,1243.78
gpt-5.6-terra,cognitive-flexibility,0.32,505604,43616,1.2958,628.73
gpt-5.6-terra,multi-turn,0.52,474045,44904,1.3034,680.9
grok-4.20-0309-reasoning,single-turn,0.66,334243,811999,2.1145,3089.95
grok-4.20-0309-reasoning,multi-turn,1.03,1237074,718724,2.5295,2885.81
grok-4.20-0309-reasoning,cognitive-flexibility,0.97,1211019,25176,3.4159,3183.32
grok-4.20-0309-reasoning,cognitive-flexibility,0.34,815127,434790,1.5993,1826.28
grok-4.20-0309-reasoning,multi-turn,0.65,1131299,934693,3.0978,7106.72
grok-4.20-0309-reasoning,single-turn,0.77,68204,236303,0.6142,895.28
